index,review,ability,aspects
0,"The staff were incredibly helpful and patient, helping me find the perfect phone!","{0: [('staff', 'were patient'), ('staff', 'were helpful')]}","{'staff': ['staff were patient.', 'staff were helpful.']}"
1,"I had a great experience purchasing my phone here, the process was smooth and quick.","{0: [('process', 'was smooth'), ('process', 'was quick')]}","{'process': ['process was smooth.', 'process was quick.']}"
2,"Their selection of phones is amazing, and the prices are very competitive!","{0: [('price', 'are competitive'), ('selection', 'is amazing')]}","{'price': ['price are competitive.'], 'selection': ['selection is amazing.']}"
3,I appreciate how the staff walked me through setting up my new device.,"{0: [('I', 'appreciate walked me'), ('I', 'appreciate walked through setting new device')]}",{'new device': ['I appreciate walked through setting new device.']}
4,"Great customer service, I left with the phone I wanted and all my questions answered.","{0: [('I', 'left with phone'), ('question', 'answered')]}",{'question': ['question answered.']}
5,"They offer amazing deals on phones, I couldn’t resist upgrading.","{0: [('I', 'could not resist offer amazing deals on phones'), ('I', 'could not resist upgrading')]}","{'store': ['I could not resist offer amazing deals on phones.', 'I could not resist upgrading.'], 'deals': ['I could not resist offer amazing deals on phones.'], 'phones': ['I could not resist offer amazing deals on phones.'], 'upgrading': ['I could not resist upgrading.']}"
6,The technician fixed my phone’s issue faster than I expected. Highly recommend!,"{0: [('technician', 'fixed issue'), ('technician', 'fixed faster'), ('I', 'expected')], 1: []}","{'issue': ['technician fixed issue.'], 'technician': ['technician fixed faster.']}"
7,"Fantastic experience, the staff really know their stuff!","{0: [('experience', 'really know stuff')]}",{'experience': ['experience really know stuff.']}
8,"I found the perfect phone case here, and the variety was impressive.","{0: [('variety', 'was impressive'), ('I', 'found perfect case')]}",{'variety': ['variety was impressive.']}
10,Staff was knowledgeable and made sure I knew everything about my new phone.,"{0: [('staff', 'was knowledgeable')]}",{'staff': ['staff was knowledgeable.']}
11,Prices were reasonable and the staff very courteous!,"{0: [('price', 'were reasonable')]}",{'price': ['price were reasonable.']}
12,"Very happy with my purchase, the staff really went the extra mile.","{0: [('staff', 'really went mile')]}",{'staff': ['staff really went mile.']}
13,Excellent service! They helped me find exactly what I was looking for.,"{0: [('service', 'service be Excellent')], 1: [('they', 'helped find')]}","{'service': ['service service be Excellent.', 'service service be Excellent.']}"
14,"Great deals on accessories, and the staff was super friendly!","{0: [('deal', 'was friendly'), ('staff', 'was friendly')]}","{'deal': ['deal was friendly.'], 'staff': ['staff was friendly.']}"
15,I love this store! Always a smooth experience buying or fixing my phone.,"{0: [('I', 'love store')], 1: [('fixing', 'buying be experience'), ('buying', 'buying be experience')]}","{'store': ['I love store.'], 'buying': ['buying buying be experience.']}"
16,I got a really good trade-in deal on my old phone.,"{0: [('I', 'got good deal on old phone')]}","{'deal': ['I got good deal on old phone.'], 'old phone': ['I got good deal on old phone.']}"
17,Their repair services are quick and reliable.,"{0: [('service', 'are reliable'), ('service', 'are quick')]}","{'service': ['service are reliable.', 'service are quick.']}"
18,The staff was extremely helpful in setting up my phone and transferring all my data.,"{0: [('staff', 'was helpful in setting phone')]}","{'phone': ['staff was helpful in setting phone.'], 'staff': ['staff was helpful in setting phone.']}"
19,"Very professional and friendly service, I’m super satisfied!","{0: [('I', 'm satisfied')]}",{'store': ['I m satisfied.']}
